,Unnamed: 0,player,index,Unnamed: 0_x,predictions_gw2,name,Unnamed: 0_y,predictions_gw1,prediction,team,web_name,id_x,chance_of_playing_next_round,now_cost,minutes,team_name,first_name,second_name,element_type,full_name,playing_points,selection_value,actual_points
0,7,Pierre-EmerickAubameyang,237,3,11.314893960952759,Pierre-EmerickAubameyang,3.0,10.750179409980774,22.065073370933533,1,Aubameyang,4,100.0,120,3136,Arsenal,Pierre-Emerick,Aubameyang,3,Pierre-EmerickAubameyang,2206.5073370933533,19.320894475777944,7
1,10,MohamedSalah,119,167,11.745066583156586,MohamedSalah,131.0,6.759205475449562,18.504272058606148,11,Salah,254,100.0,120,2879,Liverpool,Mohamed,Salah,3,MohamedSalah,1850.4272058606145,16.353560048838457,20
2,0,MattDoherty,28,289,5.563465595245361,MattDoherty,217.0,9.136726379394533,14.700191974639894,17,Doherty,457,100.0,60,2836,Spurs,Matt,Doherty,2,MattDoherty,1470.0191974639895,26.366986624399825,2
3,1,AndrewRobertson,118,168,10.532271683216097,AndrewRobertson,132.0,3.9295446872711186,14.461816370487215,11,Robertson,255,100.0,70,3111,Liverpool,Andrew,Robertson,2,AndrewRobertson,1446.1816370487215,22.2597376721246,4
4,8,AlexandreLacazette,236,4,7.308757424354553,AlexandreLacazette,4.0,6.342283755540848,13.651041179895401,1,Lacazette,6,100.0,85,1867,Arsenal,Alexandre,Lacazette,4,AlexandreLacazette,1365.10411798954,17.377695505759295,7
5,4,Virgilvan Dijk,123,163,7.97130823135376,Virgilvan Dijk,127.0,4.983049929141998,12.954358160495758,11,van Dijk,250,100.0,65,3420,Liverpool,Virgil,van Dijk,2,Virgilvan Dijk,1295.4358160495758,21.65285870845501,7
6,2,GeorgeBaldock,63,241,7.2278481125831595,GeorgeBaldock,166.0,3.8266565799713135,11.054504692554472,15,Baldock,351,100.0,55,3420,Sheffield Utd,George,Baldock,2,GeorgeBaldock,1105.4504692554472,22.135463077371764,0
7,3,EndaStevens,65,239,6.184372544288635,EndaStevens,164.0,4.610420107841493,10.794792652130127,15,Stevens,347,100.0,55,3345,Sheffield Utd,Enda,Stevens,2,EndaStevens,1079.4792652130127,21.663259367509323,0
8,5,JohnLundstram,60,244,4.5114865601062775,JohnLundstram,170.0,6.162978172302246,10.674464732408524,15,Lundstram,355,100.0,55,2452,Sheffield Utd,John,Lundstram,3,JohnLundstram,1067.4464732408524,21.444481331651858,1
9,9,SébastienHaller,18,302,3.148786574602127,SébastienHaller,230.0,6.6532193422317505,9.802005916833876,19,Haller,441,100.0,65,2259,West Ham,Sébastien,Haller,4,SébastienHaller,980.2005916833878,16.803086025898274,1
10,6,LukaszFabianski,25,293,4.202720880508424,LukaszFabianski,221.0,4.378757297992706,8.581478178501131,19,Fabianski,431,100.0,50,2117,West Ham,Lukasz,Fabianski,1,LukaszFabianski,858.1478178501129,19.40295635700226,1
11,11,GranitXhaka,233,7,3.851213097572327,GranitXhaka,7.0,3.5307803153991704,7.381993412971497,1,Xhaka,9,100.0,55,2586,Arsenal,Granit,Xhaka,3,GranitXhaka,738.1993412971498,15.458169841766354,3
